SampleID,TreeName,Year,Treatment,Pair,Batch,PerN,mgNcapsule , d15Npermil,PerC,mgCcapsule , d13Cpermil,PerS,mgScapsule , d34Spermil
SB13_2016,SB13,2016,BR,100,NCS_180117a,1.29,110,-4.81,51.24,4.36,-27.05,,,
SB13_2015,SB13,2015,BR,100,NCS_180117a,1.15,93,-5.18,51.54,4.16,-27.23,,,
SB13_2014,SB13,2014,BR,100,NCS_180117a,1.22,101,-5.48,51.15,4.22,-26.06,,,
SB13_2013,SB13,2013,BR,100,NCS_180117a,1.06,90,-5.61,49.19,4.17,-26.47,,,
SB13_2012,SB13,2012,BR,100,NCS_180117a,1.14,93,-5.46,49.73,4.04,-26.71,,,
SB14_2017,SB14,2017,BR,7,NCS_180117a,0.86,71,-4.64,48.4,3.97,-25.81,,,
SB14_2016,SB14,2016,BR,7,NCS_180117a,0.95,76,-3.88,50.48,4.05,-28.1,,,
SB14_2015,SB14,2015,BR,7,NCS_180117a,1.02,81,-4.14,51.6,4.09,-29.04,,,
SB14_2014,SB14,2014,BR,7,NCS_180117a,1.06,90,-4.32,51.58,4.37,-28.87,,,
SB14_2013,SB14,2013,BR,7,NCS_180117a,0.95,80,-4.53,56.65,4.75,-28.65,,,
SB14_2012,SB14,2012,BR,7,NCS_180117a,0.74,59,-4.17,51.77,4.19,-28.49,,,
SB15_2017,SB15,2017,N,7,NCS_180117a,1.32,108,-3.24,50.43,4.14,-28.27,,,
SB15_2016,SB15,2016,N,7,NCS_180117a,1.5,126,-3.92,50.43,4.24,-28.77,,,
SB15_2015,SB15,2015,N,7,NCS_180117a,1.25,107,-4.12,52.09,4.46,-29.96,,,
SB15_2014,SB15,2014,N,7,NCS_180117a,1.13,96,-4.19,50.69,4.3,-29.13,,,
SB15_2013,SB15,2013,N,7,NCS_180117a,0.87,71,-4.02,51.7,4.24,-29.2,,,
SB15_2012,SB15,2012,N,7,NCS_180117a,0.76,62,-3.55,48.83,3.97,-28.77,,,
SB16_2017,SB16,2017,N,8,NCS_180117a,1.07,91,-5.15,50.33,4.27,-26.88,,,
SB16_2016,SB16,2016,N,8,NCS_180117a,1.28,108,-5.7,50.67,4.3,-27.21,,,
SB16_2015,SB16,2015,N,8,NCS_180117a,1.03,85,-5.95,51.24,4.23,-28.25,,,
SB16_2014,SB16,2014,N,8,NCS_180117a,0.96,79,-6.37,51.4,4.2,-27.92,,,
SB16_2013,SB16,2013,N,8,NCS_180117a,0.85,72,-6.32,50.66,4.25,-27.95,,,
SB16_2012,SB16,2012,N,8,NCS_180117a,0.77,62,-6.43,50.48,4.03,-27.77,,,
SB17_2017,SB17,2017,BR,8,NCS_180117a,1.27,103,-3.7,50.73,4.1,-25.16,,,
SB17_2016,SB17,2016,BR,8,NCS_180117a,1.19,95,-4.34,51.49,4.11,-26.13,,,
SB17_2015,SB17,2015,BR,8,NCS_180117a,0.95,81,-4.54,51.48,4.36,-26.34,,,
SB17_2014,SB17,2014,BR,8,NCS_180117a,1.01,85,-4.93,51.58,4.35,-25.73,,,
SB17_2013,SB17,2013,BR,8,NCS_180117a,NA,NA,NA,NA,NA,NA,Rerun,,
SB17_2012,SB17,2012,BR,8,NCS_180117a,NA,NA,NA,NA,NA,NA,Rerun,,
SB18_2017,SB18,2017,BR,9,NCS_180117a,1.21,100,-5.09,50.33,4.16,-26.92,,,
SB18_2016,SB18,2016,BR,9,NCS_180117a,1.23,103,-5.43,50.99,4.3,-27.62,,,
SB18_2015,SB18,2015,BR,9,NCS_180117a,1.16,99,-5.36,51.9,4.43,-28.09,,,
SB18_2014,SB18,2014,BR,9,NCS_180117a,0.85,70,-5.64,51.54,4.28,-27.55,,,
SB18_2013,SB18,2013,BR,9,NCS_180117a,0.96,76,-5.84,51.31,4.07,-28.13,,,
SB18_2012,SB18,2012,BR,9,NCS_180117a,0.8,67,-5.86,51.5,4.29,-28.07,,,
SB19_2017,SB19,2017,N,9,NCS_180117a,1.05,90,-4.03,50.36,4.31,-28.14,,,
SB19_2016,SB19,2016,N,9,NCS_180117a,0.99,80,-4.4,51.08,4.15,-28.17,,,
SB19_2015,SB19,2015,N,9,NCS_180117a,1,82,-4.79,51.64,4.23,-28.2,,,
SB19_2014,SB19,2014,N,9,NCS_180117a,0.91,76,-4.97,51.44,4.3,-27.79,,,
SB19_2013,SB19,2013,N,9,NCS_180117a,0.98,83,-5.09,51.69,4.36,-28.81,,,
SB19_2012,SB19,2012,N,9,NCS_180117a,0.97,83,-5.22,51.47,4.39,-28.88,,,
SB20_2017,SB20,2017,BR,10,NCS_180117a,0.96,79,-5.04,50.93,4.19,-26.96,,,
SB20_2016,SB20,2016,BR,10,NCS_180117a,0.99,84,-5,51.53,4.34,-27.38,,,
SB20_2015,SB20,2015,BR,10,NCS_180117a,0.9,74,-5.25,51.01,4.2,-27.88,,,
SB20_2014,SB20,2014,BR,10,NCS_180117a,0.84,70,-5.58,50.88,4.23,-27.15,,,
SB20_2013,SB20,2013,BR,10,NCS_180117a,0.92,76,-5.6,50.47,4.18,-27.48,,,
SB20_2012,SB20,2012,BR,10,NCS_180117a,0.78,64,-5.36,50.78,4.2,-27.48,,,
SB21_2017,SB21,2017,N,10,NCS_180117a,0.93,75,-3.74,50.4,4.06,-27.85,,,
SB21_2016,SB21,2016,N,10,NCS_180117a,1.16,98,-3.84,51.69,4.35,-28.33,,,
SB21_2015,SB21,2015,N,10,NCS_180117a,1,82,-3.85,52.03,4.3,-28.62,,,
SB21_2014,SB21,2014,N,10,NCS_180117a,1.02,82,-4.17,51.83,4.16,-27.55,,,
SB21_2013,SB21,2013,N,10,NCS_180117a,0.96,79,-4.27,51.95,4.27,-27.8,,,
SB21_2012,SB21,2012,N,10,NCS_180117a,0.88,73,-4.48,51.63,4.27,-28.5,,,
SB22_2017,SB22,2017,BR,11,NCS_180117a,1.04,82,-3.95,50.18,3.94,-27.56,,,
SB22_2016,SB22,2016,BR,11,NCS_180117a,1.21,100,-4.52,51.39,4.23,-27.5,,,
SB22_2015,SB22,2015,BR,11,NCS_180117a,1.09,91,-4.11,51.11,4.27,-28.25,,,
SB22_2014,SB22,2014,BR,11,NCS_180117a,1.1,93,-4.45,51.22,4.34,-27.65,,,
SB22_2013,SB22,2013,BR,11,NCS_180117a,1,84,-4.63,51.23,4.28,-27.55,,,
SB22_2012,SB22,2012,BR,11,NCS_180117a,0.97,81,-4.69,51.74,4.28,-27.65,,,
SB23_2017,SB23,2017,N,11,NCS_180117a,0.95,79,-4.33,50.08,4.2,-26.37,,,
SB23_2016,SB23,2016,N,11,NCS_180117a,1.09,89,-4.76,51.04,4.18,-26.82,,,
SB23_2015,SB23,2015,N,11,NCS_180117a,0.95,79,-4.82,51.05,4.26,-28.31,,,
SB23_2014,SB23,2014,N,11,NCS_180117a,1.03,85,-4.94,51.5,4.26,-26.96,,,
SB23_2013,SB23,2013,N,11,NCS_180117a,1.11,95,-5.05,52.19,4.44,-27.02,,,
SB23_2012,SB23,2012,N,11,NCS_180117a,0.87,69,-4.98,51.06,4.07,-26.97,,,
