id,year,dbh,wpbr,node1,node2,node3,avnode,neednum1,neednum2,neednum3,avnum,needlen1_mm,needlen2_mm,needlen3_mm,avlen,
SB8,2007,27.9,no,32.18,,,32.18,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB9,2017,20.5,yes,51.42,59.85,58.49,56.58666667,21,29,29,26.33333333,67.08,67.75,67.17,67.33333333,
SB9,2016,20.5,yes,69.15,69.05,67.54,68.58,22,30,31,27.66666667,65.46,72.01,65.36,67.61,
SB9,2015,20.5,yes,43.93,41.26,47.54,44.24333333,17,24,24,21.66666667,65.31,68.04,63.94,65.76333333,
SB9,2014,20.5,yes,49.13,73.44,58.6,60.39,19,30,27,25.33333333,56.92,52.97,57.35,55.74666667,
SB9,2013,20.5,yes,57.36,51.14,48.55,52.35,18,29,15,20.66666667,57.82,60.71,60.76,59.76333333,
SB9,2012,20.5,yes,72.61,65.18,50.72,62.83666667,14,19,2,11.66666667,61.34,63.51,64.85,63.23333333,
SB9,2011,20.5,yes,74.41,51.07,,62.74,0,5,0,1.666666667,,,,,
SB9,2010,20.5,yes,70.89,,,70.89,,,,,,,,,
SB9,2009,20.5,yes,91.25,,,91.25,,,,,,,,,
SB9,2008,20.5,yes,,,,,,,,,,,,,
SB9,2007,20.5,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB10,2017,21.5,no,27.58,19.61,27.27,24.82,13,10,17,13.33333333,68.95,62.6,66.53,66.02666667,
SB10,2016,21.5,no,25.87,27,32.24,28.37,11,15,15,13.66666667,67.96,66.49,70.11,68.18666667,
SB10,2015,21.5,no,18.78,15.62,17.2,17.2,10,11,12,11,70.18,64.5,64.23,66.30333333,
SB10,2014,21.5,no,34.18,29.27,45.43,36.29333333,15,16,13,14.66666667,54.61,43.59,51.75,49.98333333,
SB10,2013,21.5,no,26.14,36.35,44.22,35.57,14,12,23,16.33333333,68.42,71.23,76.81,72.15333333,
SB10,2012,21.5,no,39.8,52.68,58.39,50.29,16,26,23,21.66666667,72.05,77.45,66.17,71.89,
SB10,2011,21.5,no,28.57,34.39,38.7,33.88666667,11,15,15,13.66666667,,,,,
SB10,2010,21.5,no,32.05,48.86,,40.455,,,,,,,,,
SB10,2009,21.5,no,36.35,,,36.35,,,,,,,,,
SB10,2008,21.5,no,42.46,,,42.46,,,,,,,,,
SB10,2007,21.5,no,80.8,,,80.8,,,,,,,,,
,,,,,,,,,,,,,,,,
SB11,2017,20.5,yes,,,,,17,15,17,16.33333333,97.17,74.59,99.37,90.37666667,
SB11,2016,20.5,yes,,,,,12,17,17,15.33333333,86.03,88.2,91.64,88.62333333,
SB11,2015,20.5,yes,,,,,13,14,18,15,82.11,84.51,71.67,79.43,
SB11,2014,20.5,yes,,,,,15,18,13,15.33333333,82.59,81.56,80.96,81.70333333,
SB11,2013,20.5,yes,,,,,24,19,18,20.33333333,60.2,66.6,62.42,63.07333333,
SB11,2012,20.5,yes,,,,,1,21,6,9.333333333,84.56,86.76,75.36,82.22666667,
SB11,2011,20.5,yes,,,,,13,16,12,13.66666667,,,,,
SB11,2010,20.5,yes,,,,,,,,,,,,,
SB11,2009,20.5,yes,,,,,,,,,,,,,
SB11,2008,20.5,yes,,,,,,,,,,,,,
SB11,2007,20.5,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB12,2017,21.5,no,,,,,19,25,13,19,82.88,94.11,85.38,87.45666667,
SB12,2016,21.5,no,,,,,20,32,22,24.66666667,84.22,88.25,89.99,87.48666667,
SB12,2015,21.5,no,,,,,21,23,17,20.33333333,92.38,92.83,88.61,91.27333333,
SB12,2014,21.5,no,,,,,24,26,25,25,91.89,76.49,79.73,82.70333333,
SB12,2013,21.5,no,,,,,26,28,25,26.33333333,86.67,87.68,89.96,88.10333333,
SB12,2012,21.5,no,,,,,12,13,16,13.66666667,94.3,91.97,96.81,94.36,
SB12,2011,21.5,no,,,,,5,20,14,13,,,,,
SB12,2010,21.5,no,,,,,,,,,,,,,
SB12,2009,21.5,no,,,,,,,,,,,,,
SB12,2008,21.5,no,,,,,,,,,,,,,
SB12,2007,21.5,no,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB13,2017,22.3,yes,38.43,,,,21,30,29,26.66666667,62.83,65.51,58.52,62.28666667,
SB13,2016,22.3,yes,34.76,,,,22,29,29,26.66666667,65.28,70.48,70.93,68.89666667,
SB13,2015,22.3,yes,39.68,,,,18,32,20,23.33333333,65.9,59.35,50.4,58.55,
SB13,2014,22.3,yes,39.32,,,,23,28,29,26.66666667,57.37,58.54,59.62,58.51,*part of branch node in the bag
SB13,2013,22.3,yes,33.95,,,,22,31,27,26.66666667,61.16,67.36,58.03,62.18333333,
SB13,2012,22.3,yes,42.15,,,,3,14,15,10.66666667,66.08,69.66,67.78,67.84,
SB13,2011,22.3,yes,45.33,,,,0,1,0,0.333333333,,,,,
SB13,2010,22.3,yes,57.99,,,,,,,,,,,,
SB13,2009,22.3,yes,129.26,,,,,,,,,,,,
SB13,2008,22.3,yes,122.83,,,,,,,,,,,,
SB13,2007,22.3,yes,154.34,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB14,2017,6.3,yes,,,,,12,24,25,20.33333333,45.5,46.42,34.84,42.25333333,
SB14,2016,6.3,yes,,,,,22,34,32,29.33333333,63.89,81.17,68.41,71.15666667,
SB14,2015,6.3,yes,,,,,23,27,30,26.66666667,84.01,88.88,84.19,85.69333333,
SB14,2014,6.3,yes,,,,,23,29,25,25.66666667,78.76,79.57,85.6,81.31,
SB14,2013,6.3,yes,,,,,21,19,21,20.33333333,89.61,82.34,90.73,87.56,
SB14,2012,6.3,yes,,,,,15,7,10,10.66666667,95.3,100.1,104.42,99.94,
SB14,2011,6.3,yes,,,,,0,0,4,1.333333333,,,,,
SB14,2010,6.3,yes,,,,,,,,,,,,,
SB14,2009,6.3,yes,,,,,,,,,,,,,
SB14,2008,6.3,yes,,,,,,,,,,,,,
SB14,2007,6.3,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB15,2017,6.5,no,,,,,49,46,33,42.66666667,53.82,67.44,59.85,60.37,
SB15,2016,6.5,no,,,,,63,50,44,52.33333333,70.3,73.8,70.87,71.65666667,
SB15,2015,6.5,no,,,,,46,49,48,47.66666667,77.25,80.66,65.52,74.47666667,
SB15,2014,6.5,no,,,,,43,49,30,40.66666667,80.85,84.91,78.17,81.31,
SB15,2013,6.5,no,,,,,39,50,40,43,80.55,73.76,70.45,74.92,
SB15,2012,6.5,no,,,,,1,0,1,0.666666667,69.37,88.38,NA,78.875,*very little material--only 2 needles
SB15,2011,6.5,no,,,,,,,,,,,,,
SB15,2010,6.5,no,,,,,,,,,,,,,
SB15,2009,6.5,no,,,,,,,,,,,,,
SB15,2008,6.5,no,,,,,,,,,,,,,
SB15,2007,6.5,no,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB16,2017,32.2,no,,,,,19,21,23,21,76.99,72.64,69.3,72.97666667,
SB16,2016,32.2,no,,,,,20,19,21,20,79.35,81.07,79.28,79.9,
SB16,2015,32.2,no,,,,,19,17,19,18.33333333,81.93,78.48,75.68,78.69666667,
SB16,2014,32.2,no,,,,,22,21,20,21,78.87,75.77,74.26,76.3,
SB16,2013,32.2,no,,,,,25,22,23,23.33333333,72.82,71.78,79.15,74.58333333,
SB16,2012,32.2,no,,,,,15,9,16,13.33333333,89.32,91.11,96.5,92.31,
SB16,2011,32.2,no,,,,,9,0,4,4.333333333,,,,,
SB16,2010,32.2,no,,,,,,,,,,,,,
SB16,2009,32.2,no,,,,,,,,,,,,,
SB16,2008,32.2,no,,,,,,,,,,,,,
SB16,2007,32.2,no,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB17,2017,35.2,yes,,,,,13,18,13,14.66666667,93.83,96.76,96.79,95.79333333,
SB17,2016,35.2,yes,,,,,15,17,13,15,90.28,88.84,87.94,89.02,
SB17,2015,35.2,yes,,,,,11,11,7,9.666666667,80.1,83.98,90.08,84.72,
SB17,2014,35.2,yes,,,,,13,8,13,11.33333333,76.58,86.59,82.8,81.99,
SB17,2013,35.2,yes,,,,,10,11,9,10,73.13,71.27,71.72,72.04,
SB17,2012,35.2,yes,,,,,4,0,7,3.666666667,69.65,78.6,74.98,74.41,
SB17,2011,35.2,yes,,,,,1,1,2,1.333333333,,,,,
SB17,2010,35.2,yes,,,,,,,,,,,,,
SB17,2009,35.2,yes,,,,,,,,,,,,,
SB17,2008,35.2,yes,,,,,,,,,,,,,
SB17,2007,35.2,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB18,2017,22.7,yes,,,,,16,13,21,16.66666667,95.64,95.42,106.55,99.20333333,
SB18,2016,22.7,yes,,,,,20,31,14,21.66666667,102.74,109.37,102.89,105,
SB18,2015,22.7,yes,,,,,26,25,19,23.33333333,88.22,92.9,98.74,93.28666667,
SB18,2014,22.7,yes,,,,,21,25,22,22.66666667,106.6,93.61,93.74,97.98333333,
SB18,2013,22.7,yes,,,,,21,31,20,24,93.85,110.6,93.73,99.39333333,
SB18,2012,22.7,yes,,,,,23,15,13,17,111.65,98.72,107.45,105.94,
SB18,2011,22.7,yes,,,,,24,12,7,14.33333333,,,,,
SB18,2010,22.7,yes,,,,,,,,,,,,,
SB18,2009,22.7,yes,,,,,,,,,,,,,
SB18,2008,22.7,yes,,,,,,,,,,,,,
SB18,2007,22.7,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB19,2017,20.9,no,,,,,16,23,22,20.33333333,89.11,80.55,85.48,85.04666667,
SB19,2016,20.9,no,,,,,11,27,22,20,100.76,90.76,88.86,93.46,
SB19,2015,20.9,no,,,,,19,22,25,22,98.88,83.03,81.44,87.78333333,
SB19,2014,20.9,no,,,,,18,26,24,22.66666667,87.24,87.99,78.7,84.64333333,
SB19,2013,20.9,no,,,,,28,37,26,30.33333333,81.01,76.71,90.96,82.89333333,
SB19,2012,20.9,no,,,,,11,20,26,19,87.81,84.51,86.6,86.30666667,
SB19,2011,20.9,no,,,,,11,13,10,11.33333333,,,,,
SB19,2010,20.9,no,,,,,6,12,2,6.666666667,,,,,
SB19,2009,20.9,no,,,,,2,0,0,0.666666667,,,,,
SB19,2008,20.9,no,,,,,,,,,,,,,
SB19,2007,20.9,no,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB20,2017,25.3,yes,,,,,19,19,9,15.66666667,66.57,73.61,71.32,70.5,
SB20,2016,25.3,yes,,,,,22,23,20,21.66666667,60.54,60.38,69.34,63.42,
SB20,2015,25.3,yes,,,,,27,29,25,27,75.28,84.69,71.63,77.2,
SB20,2014,25.3,yes,,,,,32,23,18,24.33333333,86.15,77.46,93.87,85.82666667,
SB20,2013,25.3,yes,,,,,40,18,34,30.66666667,79.27,80.93,80.95,80.38333333,
SB20,2012,25.3,yes,,,,,11,11,19,13.66666667,81.95,86.28,78.62,82.28333333,
SB20,2011,25.3,yes,,,,,8,4,20,10.66666667,,,,,
SB20,2010,25.3,yes,,,,,0,0,0,0,,,,,
SB20,2009,25.3,yes,,,,,,,,,,,,,
SB20,2008,25.3,yes,,,,,,,,,,,,,
SB20,2007,25.3,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB21,2017,22.8,no,,,,,28,24,32,28,88.36,89.67,88.73,88.92,
Sb21,2016,22.8,no,,,,,27,28,30,28.33333333,88.23,91.76,90.77,90.25333333,
SB21,2015,22.8,no,,,,,26,24,28,26,84.17,72.43,70.96,75.85333333,
SB21,2014,22.8,no,,,,,29,36,33,32.66666667,71.32,63.99,84.17,73.16,
SB21,2013,22.8,no,,,,,20,23,19,20.66666667,100.34,96.3,85.64,94.09333333,
SB21,2012,22.8,no,,,,,23,13,14,16.66666667,93.7,98.84,106.1,99.54666667,
SB21,2011,22.8,no,,,,,20,18,22,20,,,,,
SB21,2010,22.8,no,,,,,,,,,,,,,
SB21,2009,22.8,no,,,,,,,,,,,,,
SB21,2008,22.8,no,,,,,,,,,,,,,
SB21,2007,22.8,no,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB22,2017,9.2,yes,,,,,22,16,21,19.66666667,64.66,73.97,63.45,67.36,
SB22,2016,9.2,yes,,,,,29,21,30,26.66666667,72.88,71.06,72.4,72.11333333,
SB22,2015,9.2,yes,,,,,19,15,25,19.66666667,88.24,85.34,89.73,87.77,
SB22,2014,9.2,yes,,,,,23,17,23,21,69.79,70.34,73.68,71.27,
SB22,2013,9.2,yes,,,,,23,13,21,19,81.97,72.55,63.59,72.70333333,
SB22,2012,9.2,yes,,,,,20,14,16,16.66666667,80.21,78.86,74.99,78.02,
SB22,2011,9.2,yes,,,,,12,8,17,12.33333333,,,,,
SB22,2010,9.2,yes,,,,,4,0,7,3.666666667,,,,,
SB22,2009,9.2,yes,,,,,,,,,,,,,
SB22,2008,9.2,yes,,,,,,,,,,,,,
SB22,2007,9.2,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB23,2017,11.3,no,,,,,9,12,13,11.33333333,68.81,65.76,63.94,66.17,
SB23,2016,11.3,no,,,,,23,17,29,23,61.41,60.63,60.13,60.72333333,
SB23,2015,11.3,no,,,,,16,19,16,17,78.54,71.91,88.27,79.57333333,
SB23,2014,11.3,no,,,,,15,18,6,13,70.52,72.59,61.66,68.25666667,
SB23,2013,11.3,no,,,,,23,16,17,18.66666667,65.82,69.29,71.91,69.00666667,
SB23,2012,11.3,no,,,,,14,13,2,9.666666667,80.91,77.89,80.58,79.79333333,
SB23,2011,11.3,no,,,,,11,10,5,8.666666667,,,,0,
SB23,2010,11.3,no,,,,,0,0,0,0,,,,0,
SB23,2009,11.3,no,,,,,,,,,,,,,
SB23,2008,11.3,no,,,,,,,,,,,,,
SB23,2007,11.3,no,,,,,,,,,,,,,
